G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,BAT_ORDER_NO,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20170331HHOB0,20170331,HH,OB,0,T,61700,1,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,62234,0,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,62768,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HHOB0,20170331,HH,OB,0,T,64086,1,9,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,66209,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,66244,1,3,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,66702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20170331HHOB0,20170331,HH,OB,0,T,66740,1,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,71347,1,2,4,3,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,71752,1,3,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,73602,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HHOB0,20170331,HH,OB,0,T,73725,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,74206,1,9,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0
20170331HHOB0,20170331,HH,OB,0,T,74729,1,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,75334,1,6,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20170331HHOB0,20170331,HH,OB,0,T,75808,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,76232,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
20170331HHOB0,20170331,OB,HH,0,B,76249,1,1,4,3,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,76753,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,77248,1,2,4,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0
20170331HHOB0,20170331,HH,OB,0,T,77464,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
20170331HHOB0,20170331,OB,HH,0,B,78224,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
20170331HHOB0,20170331,OB,HH,0,B,79215,1,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HHOB0,20170331,OB,HH,0,B,79240,1,8,3,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
20170331HHOB0,20170331,HH,OB,0,T,98144,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
20170331HTSS0,20170331,SS,HT,0,B,60456,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HTSS0,20170331,HT,SS,0,T,60648,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HTSS0,20170331,SS,HT,0,B,61104,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HTSS0,20170331,SS,HT,0,B,61404,1,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20170331HTSS0,20170331,SS,HT,0,B,62404,1,3,4,4,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20170331HTSS0,20170331,SS,HT,0,B,62415,1,1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20170331HTSS0,20170331,HT,SS,0,T,63634,1,8,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
20170331HTSS0,20170331,HT,SS,0,T,63704,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20170331HTSS0,20170331,HT,SS,0,T,63722,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170331HTSS0,20170331,SS,HT,0,B,64610,1,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20170331HTSS0,20170331,SS,HT,0,B,67450,1,4,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
20170331HTSS0,20170331,HT,SS,0,T,67650,1,1,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
