G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,BAT_ORDER_NO,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20180324HHWO0,20180324,HH,WO,0,T,60805,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180324HHWO0,20180324,WO,HH,0,B,61353,1,6,4,3,0,2,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0
20180324HHWO0,20180324,HH,WO,0,T,62700,1,5,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1
20180324HHWO0,20180324,HH,WO,0,T,62797,1,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
20180324HHWO0,20180324,WO,HH,0,B,64300,1,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0
20180324HHWO0,20180324,WO,HH,0,B,64346,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180324HHWO0,20180324,HH,WO,0,T,64717,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180324HHWO0,20180324,HH,WO,0,T,66702,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20180324HHWO0,20180324,HH,WO,0,T,66716,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20180324HHWO0,20180324,WO,HH,0,B,67341,1,8,4,3,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0.5,2,1
20180324HHWO0,20180324,WO,HH,0,B,67394,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
20180324HHWO0,20180324,HH,WO,0,T,68730,1,7,4,4,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
