G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20160401HHLG0,20160401,HH,LG,0,T,52,46,4,4,13,2,0,0,0,0,3,0,3,0,0,10,1,2,12,0.2,15,3
20160401HHLG0,20160401,LG,HH,0,B,47,42,4,5,9,2,0,1,2,1,1,0,4,0,0,11,0,0,8,0.333333333,12,4
20160401HTNC0,20160401,HT,NC,0,T,38,34,3,4,8,3,0,1,0,0,0,0,3,0,1,10,1,0,7,0.1,10,1
20160401HTNC0,20160401,NC,HT,0,B,36,30,5,5,9,2,0,2,0,0,1,0,5,0,0,9,1,1,7,0.142857143,7,1
20160401KTSK0,20160401,SK,KT,0,B,36,36,4,4,10,5,0,1,0,0,0,0,0,0,0,7,1,1,5,0.375,8,3
20160401KTSK0,20160401,KT,SK,0,T,42,36,7,8,11,0,0,2,2,1,0,1,4,0,1,7,0,0,7,0.285714286,7,2
20160401LTWO0,20160401,LT,WO,0,T,39,37,1,2,11,2,0,0,1,0,0,0,2,0,0,6,2,0,10,0.071428571,14,1
20160401LTWO0,20160401,WO,LT,0,B,36,30,1,1,6,1,0,0,0,2,0,1,5,0,0,6,0,1,8,0,5,0
20160401OBSS0,20160401,SS,OB,0,B,35,32,1,1,8,0,0,0,1,1,0,0,2,0,1,6,2,1,7,0.25,4,1
20160401OBSS0,20160401,OB,SS,0,T,37,31,4,5,8,0,0,2,2,1,1,1,3,0,1,3,1,0,5,0.142857143,7,1
20160402HHLG0,20160402,LG,HH,0,B,49,40,8,8,12,2,1,1,1,2,0,0,8,0,1,9,0,1,11,0.3,10,3
20160402HHLG0,20160402,HH,LG,0,T,50,43,7,7,13,4,0,0,0,1,2,0,3,1,2,9,0,1,10,0.333333333,15,5
20160402HTNC0,20160402,HT,NC,0,T,39,33,4,4,8,2,0,1,1,1,1,0,5,0,0,8,0,0,8,0.428571429,7,3
20160402HTNC0,20160402,NC,HT,0,B,36,33,3,3,7,1,0,1,1,0,0,0,2,0,1,5,1,0,6,0,4,0
20160402KTSK0,20160402,KT,SK,0,T,41,34,3,3,8,0,0,0,0,2,1,0,6,0,0,3,2,1,8,0.375,8,3
20160402KTSK0,20160402,SK,KT,0,B,44,37,4,4,10,2,0,1,2,0,0,0,6,2,1,6,1,1,12,0.111111111,9,1
20160402LTWO0,20160402,LT,WO,0,T,39,34,3,3,8,3,0,0,2,1,0,0,5,0,0,9,0,1,9,0.181818182,11,2
20160402LTWO0,20160402,WO,LT,0,B,35,30,5,5,9,0,0,0,1,1,0,0,4,0,1,6,1,0,6,0.375,8,3
20160402OBSS0,20160402,SS,OB,0,B,41,36,10,10,16,3,1,2,1,1,2,0,2,0,1,7,1,0,7,0.454545455,11,5
20160402OBSS0,20160402,OB,SS,0,T,42,38,6,6,12,6,0,1,1,0,0,0,4,0,0,6,1,0,9,0.1875,16,3
20160403KTSK0,20160403,KT,SK,0,T,40,33,5,5,7,2,0,1,0,1,0,0,6,0,1,9,0,0,8,0.3,10,3
20160403KTSK0,20160403,SK,KT,0,B,38,32,4,4,8,2,0,0,1,1,0,1,3,0,2,4,0,0,7,0.125,8,1
20160403LTWO0,20160403,WO,LT,0,B,42,34,6,6,11,2,0,0,3,0,1,0,7,1,0,7,0,1,11,0.357142857,14,5
20160403LTWO0,20160403,LT,WO,0,T,43,38,5,5,12,1,1,0,0,0,0,1,4,0,0,5,1,0,11,0.416666667,12,5
20160405LGHT0,20160405,HT,LG,0,B,31,28,4,4,6,1,0,1,0,0,0,0,3,0,0,10,2,0,3,0.25,4,1
20160405LGHT0,20160405,LG,HT,0,T,35,34,1,1,7,0,0,0,1,0,0,0,1,0,0,9,0,1,7,0.2,5,1
20160405NCOB0,20160405,OB,NC,0,B,39,28,5,6,6,1,1,0,2,1,0,0,7,0,4,5,0,0,9,0.285714286,7,2
20160405NCOB0,20160405,NC,OB,0,T,37,31,2,2,5,0,0,0,0,0,0,0,5,0,1,9,1,0,8,0.285714286,7,2
20160405SKLT0,20160405,SK,LT,0,T,35,30,1,1,4,2,0,0,1,0,0,1,2,0,2,12,0,1,7,0.142857143,7,1
20160405SKLT0,20160405,LT,SK,0,B,34,30,2,2,5,0,0,0,0,0,0,0,3,0,1,7,0,0,8,0.111111111,9,1
20160405SSKT0,20160405,SS,KT,0,T,45,38,3,3,10,2,0,0,0,0,0,0,6,0,1,6,1,0,15,0.235294118,17,4
20160405SSKT0,20160405,KT,SS,0,B,42,32,8,8,11,4,0,1,2,0,0,2,8,0,0,6,1,3,10,0.266666667,15,4
20160405WOHH0,20160405,WO,HH,0,T,40,32,4,5,7,0,0,1,2,2,0,0,7,0,1,11,1,1,8,0.142857143,7,1
20160405WOHH0,20160405,HH,WO,0,B,41,35,8,9,13,4,0,0,1,0,0,1,4,0,1,1,1,1,8,0.428571429,14,6
20160406NCOB0,20160406,OB,NC,0,B,32,30,2,2,5,0,0,1,0,0,0,0,1,0,1,8,0,0,6,0.083333333,12,1
20160406NCOB0,20160406,NC,OB,0,T,29,28,0,0,2,0,0,0,0,0,0,0,1,0,0,12,1,3,2,0,0,0
20160406SKLT0,20160406,SK,LT,0,T,21,16,1,1,1,0,0,0,0,0,0,0,4,0,1,2,1,1,5,0.25,4,1
20160406SKLT0,20160406,LT,SK,0,B,31,27,11,11,14,3,0,3,1,1,1,0,2,0,1,2,0,1,5,0.5,10,5
20160406SSKT0,20160406,KT,SS,0,B,38,36,6,6,7,2,0,3,0,0,0,0,2,0,0,6,0,2,5,0.5,4,2
20160406SSKT0,20160406,SS,KT,0,T,47,41,7,11,14,3,1,0,2,0,1,0,5,0,0,3,1,2,9,0.3125,16,5
20160406WOHH0,20160406,WO,HH,0,T,40,32,5,6,6,2,0,0,0,0,0,0,7,0,1,12,0,0,7,0.25,8,2
20160406WOHH0,20160406,HH,WO,0,B,36,35,4,4,11,3,0,2,1,0,1,0,0,0,0,5,1,0,5,0.222222222,9,2
20160407LGHT0,20160407,HT,LG,0,B,37,34,4,4,9,5,0,0,1,1,0,0,2,0,1,6,1,0,6,0.444444444,9,4
20160407LGHT0,20160407,LG,HT,0,T,43,38,8,8,11,1,0,2,2,0,0,0,4,0,1,9,0,0,8,0.333333333,12,4
20160407NCOB0,20160407,NC,OB,0,T,43,41,8,8,15,2,1,0,0,1,0,0,2,0,0,4,0,0,8,0.5,10,5
20160407NCOB0,20160407,OB,NC,0,B,40,36,2,2,10,1,0,0,0,0,0,0,2,0,2,9,1,0,11,0.111111111,9,1
20160407SKLT0,20160407,LT,SK,0,B,33,31,3,3,5,1,0,1,0,0,0,1,1,0,0,8,0,0,3,0,3,0
