G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20180324HHWO0,20180324,WO,HH,0,B,41,37,5,6,12,3,0,1,2,0,0,0,4,0,0,10,0,0,11,0.235294118,17,4
20180324HHWO0,20180324,HH,WO,0,T,38,37,2,3,13,0,1,0,1,0,0,0,1,0,0,9,0,1,8,0.230769231,13,3
20180324KTHT0,20180324,KT,HT,0,T,38,37,5,5,11,1,0,3,0,0,0,0,1,0,0,9,0,0,6,0.4,5,2
20180324KTHT0,20180324,HT,KT,0,B,43,36,4,4,12,2,0,0,0,0,2,1,2,0,2,8,0,0,12,0.272727273,11,3
20180324LGNC0,20180324,LG,NC,0,T,32,30,2,2,7,0,0,1,1,0,0,1,1,0,0,9,1,0,3,0,4,0
20180324LGNC0,20180324,NC,LG,0,B,35,30,4,4,9,2,0,1,1,1,0,1,4,0,0,9,0,0,7,0.166666667,6,1
20180324LTSK0,20180324,LT,SK,0,T,39,33,3,5,7,2,0,0,2,0,0,0,6,0,0,12,0,2,7,0.2,10,2
20180324LTSK0,20180324,SK,LT,0,B,40,32,6,6,8,1,0,1,2,1,0,1,7,0,0,10,0,3,10,0.25,8,2
20180324SSOB0,20180324,SS,OB,0,T,43,37,6,6,13,4,0,0,0,0,1,0,4,0,1,9,0,1,10,0.363636364,11,4
20180324SSOB0,20180324,OB,SS,0,B,32,32,2,3,6,2,0,1,0,0,0,0,0,0,0,4,1,0,2,0.5,4,2
20180325HHWO0,20180325,WO,HH,0,B,33,31,1,1,5,1,0,1,0,0,0,0,1,0,1,11,0,0,5,0,3,0
20180325HHWO0,20180325,HH,WO,0,T,39,36,4,4,11,3,0,1,2,1,0,0,1,0,2,9,1,0,8,0.272727273,11,3
20180325KTHT0,20180325,HT,KT,0,B,44,39,14,14,16,2,0,4,1,0,0,1,3,0,1,8,0,0,6,0.5,10,5
20180325KTHT0,20180325,KT,HT,0,T,33,33,1,1,7,1,0,1,0,0,0,0,0,0,0,8,1,0,5,0,4,0
20180325LGNC0,20180325,NC,LG,0,B,41,30,5,7,8,1,0,0,2,0,0,2,5,0,4,5,2,0,10,0.2,10,2
20180325LGNC0,20180325,LG,NC,0,T,35,30,1,1,3,0,0,1,0,0,0,0,4,0,1,7,0,3,7,0,4,0
20180325LTSK0,20180325,LT,SK,0,T,33,32,0,0,5,1,0,0,0,0,0,0,1,0,0,9,1,0,6,0,2,0
20180325LTSK0,20180325,SK,LT,0,B,36,31,5,5,9,2,0,3,1,0,0,0,5,0,0,9,2,1,7,0.285714286,7,2
20180325SSOB0,20180325,SS,OB,0,T,33,31,4,4,6,0,0,1,0,1,1,0,1,0,0,4,0,1,2,0.4,5,2
