G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20200505HHSK0,20200505,HH,SK,0,T,35,31,3,3,8,3,0,0,0,1,2,0,2,0,0,5,1,0,5,0.25,8,2
20200505HHSK0,20200505,SK,HH,0,B,30,29,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,1,0
20200505LTKT0,20200505,LT,KT,0,T,37,32,7,7,7,1,0,2,0,0,0,1,4,0,0,9,1,1,3,0.666666667,3,2
20200505LTKT0,20200505,KT,LT,0,B,35,30,2,2,5,1,0,1,0,1,0,0,5,0,0,8,1,0,6,0,4,0
20200505NCSS0,20200505,NC,SS,0,T,35,33,4,4,7,2,0,3,0,0,0,0,2,0,0,9,0,1,4,0.333333333,3,1
20200505NCSS0,20200505,SS,NC,0,B,36,30,0,0,3,0,0,0,0,1,0,0,6,0,0,8,0,0,9,0,5,0
20200505OBLG0,20200505,OB,LG,0,T,34,30,2,2,6,1,0,1,0,0,0,1,3,0,0,9,1,0,5,0,2,0
20200505OBLG0,20200505,LG,OB,0,B,36,30,6,8,10,6,1,1,1,1,0,0,5,0,1,6,1,0,4,0.5,8,4
20200505WOHT0,20200505,HT,WO,0,B,37,32,2,2,6,1,0,0,0,0,0,0,4,0,1,7,2,0,8,0.2,10,2
20200505WOHT0,20200505,WO,HT,0,T,44,38,11,11,12,3,0,2,0,0,0,0,6,0,0,5,1,1,6,0.666666667,9,6
20200506HHSK0,20200506,SK,HH,0,B,37,33,5,5,9,3,0,2,3,0,1,0,3,0,0,8,0,0,8,0.166666667,12,2
20200506HHSK0,20200506,HH,SK,0,T,35,31,2,2,5,1,0,1,0,0,0,0,4,0,0,5,1,2,6,0.166666667,6,1
20200506LTKT0,20200506,LT,KT,0,T,41,36,8,9,12,2,0,1,1,1,0,3,1,0,1,6,0,1,5,0.25,12,3
20200506LTKT0,20200506,KT,LT,0,B,38,35,4,4,8,2,0,1,1,0,0,1,2,0,0,3,0,2,7,0.111111111,9,1
20200506NCSS0,20200506,NC,SS,0,T,40,33,4,4,8,1,0,2,2,2,0,0,6,0,1,8,0,0,9,0.2,10,2
20200506NCSS0,20200506,SS,NC,0,B,34,32,3,3,5,1,0,3,0,0,0,0,1,0,1,11,0,1,4,0,3,0
20200506OBLG0,20200506,OB,LG,0,T,37,35,5,5,12,1,0,1,0,0,0,1,1,0,0,3,2,1,5,0.428571429,7,3
20200506OBLG0,20200506,LG,OB,0,B,36,33,2,2,6,0,0,0,1,0,0,0,2,0,1,6,1,0,7,0.111111111,9,1
20200506WOHT0,20200506,HT,WO,0,B,37,35,2,2,9,2,0,1,0,0,1,0,1,0,0,9,0,1,8,0.166666667,6,1
20200506WOHT0,20200506,WO,HT,0,T,35,31,2,3,7,1,1,0,1,0,1,2,1,0,0,11,0,0,5,0,4,0
20200507HHSK0,20200507,HH,SK,0,T,42,37,7,8,13,1,0,0,4,0,0,0,5,0,0,7,3,0,7,0.363636364,11,4
20200507HHSK0,20200507,SK,HH,0,B,45,39,3,4,15,2,2,0,0,0,0,0,4,0,2,8,3,0,14,0.1875,16,3
20200507LTKT0,20200507,LT,KT,0,T,45,40,7,7,14,2,0,1,0,0,1,0,4,0,0,3,1,0,11,0.266666667,15,4
20200507LTKT0,20200507,KT,LT,0,B,35,33,2,3,7,2,0,0,0,1,0,0,2,0,0,4,0,2,5,0.111111111,9,1
20200507NCSS0,20200507,NC,SS,0,T,44,35,7,8,9,2,0,1,0,0,1,1,5,0,2,6,0,0,9,0.230769231,13,3
20200507NCSS0,20200507,SS,NC,0,B,38,32,1,2,5,1,0,0,0,0,0,0,5,0,1,8,0,1,9,0.1,10,1
20200507OBLG0,20200507,OB,LG,0,T,42,40,7,9,14,2,0,1,0,1,0,1,0,0,1,4,0,0,6,0.333333333,9,3
20200507OBLG0,20200507,LG,OB,0,B,34,30,3,3,7,2,0,0,0,0,1,1,2,0,0,7,1,3,4,0.2,5,1
20200507WOHT0,20200507,WO,HT,0,T,38,34,5,5,9,4,0,1,1,0,0,1,3,0,0,6,0,0,6,0.153846154,13,2
20200507WOHT0,20200507,HT,WO,0,B,43,38,8,8,16,2,0,2,0,0,0,0,4,0,1,7,2,0,11,0.357142857,14,5
20200508HHWO0,20200508,HH,WO,0,T,33,31,3,3,6,0,0,1,0,1,0,0,2,0,0,7,1,0,3,0.2,5,1
20200508HHWO0,20200508,WO,HH,0,B,38,34,5,5,10,0,1,2,0,0,0,0,3,0,1,6,0,0,9,0.375,8,3
20200508HTSS0,20200508,HT,SS,0,T,36,30,0,0,5,1,0,0,0,1,0,0,6,0,0,9,1,1,9,0,7,0
20200508HTSS0,20200508,SS,HT,0,B,37,30,5,5,6,3,0,1,1,2,0,0,7,0,0,6,0,0,8,0.111111111,9,1
20200508KTOB0,20200508,OB,KT,0,B,38,34,3,3,8,3,0,0,0,0,0,1,3,0,0,3,0,0,8,0.285714286,7,2
