GYEAR,PCODE,NAME,T_ID,POSITION,AGE_VA,MONEY
2019,60100,백창수,HH,외,31,6000만원
2019,60140,신정락,HH,투,32,12000만원
2019,60146,이승현,SS,투,27,7000만원
2019,60181,김지용,LG,투,31,12500만원
2019,60184,김창혁,HH,포,28,3000만원
2019,60263,이재학,NC,투,28,24500만원
2019,60288,김응민,SS,포,27,2900만원
2019,60336,문성현,WO,투,27,5000만원
2019,60337,김대유,KT,투,28,3000만원
2019,60339,김건태,NC,투,27,5700만원
2019,60343,이해창,KT,포,32,6100만원
2019,60523,정훈,LT,외,31,8000만원
2019,60558,오태곤,KT,내,27,8000만원
2019,60559,박시영,LT,투,30,5000만원
2019,60566,이상호,NC,내,30,8000만원
2019,60605,홍재호,HT,내,32,4000만원
2019,60634,임기준,HT,투,27,10000만원
2019,60648,이인행,HT,외,28,3300만원
2019,60757,김경태,HH,투,28,3700만원
2019,60764,김용주,KT,투,27,3100만원
2019,60768,이태양,HH,투,29,15000만원
2019,60805,최윤석,HH,내,32,4200만원
2019,60841,박종훈,SK,투,27,32000만원
2019,60845,문광은,LG,투,31,6000만원
2019,61101,임찬규,LG,투,26,17500만원
2019,61102,유강남,LG,포,26,21000만원
2019,61104,정병곤,OB,내,31,4000만원
2019,61114,김재율,LG,내,30,4800만원
2019,61145,이우찬,LG,투,26,3100만원
2019,61186,이천웅,LG,외,30,15000만원
2019,61197,최영진,SS,내,31,5300만원
2019,61204,김동한,LT,내,31,5000만원
2019,61208,정진호,OB,외,30,11300만원
2019,61214,이현호,OB,투,26,4900만원
2019,61268,양현,WO,투,26,6000만원
2019,61295,강동연,OB,투,26,3400만원
2019,61329,윤지웅,NC,투,31,5800만원
2019,61353,고종욱,SK,외,30,11000만원
2019,61360,김도현,OB,외,26,3000만원
2019,61365,김대우,SS,투,30,9000만원
2019,61396,박정준,OB,투,27,2700만원
2019,61404,김헌곤,SS,외,30,15500만원
2019,61456,윤영삼,WO,투,26,6000만원
2019,61457,임현준,SS,투,30,5500만원
2019,61554,김민하,HH,외,30,3900만원
2019,61565,장국헌,LT,투,27,2700만원
2019,61566,허일,LT,외,26,3000만원
2019,61591,김사훈,LT,포,32,3900만원
2019,61643,홍건희,HT,투,26,5800만원
2019,61652,윤정우,SK,외,31,3000만원
2019,61666,한승혁,HT,투,26,8500만원
2019,61700,강경학,HH,내,26,8800만원
2019,61743,오준혁,SK,외,27,3700만원
2019,61767,문재현,HH,투,27,2700만원
2019,61869,정진기,SK,외,26,8200만원
2019,61895,서진용,SK,투,26,9000만원
2019,61896,최진호,SK,투,26,2700만원
2019,61962,김정후,LG,투,30,3500만원
2019,62025,이원재,NC,내,30,5000만원
2019,62056,정영일,SK,투,30,10000만원
2019,62146,최성훈,LG,투,29,5400만원
2019,62160,신동훈,SK,투,25,4100만원
2019,62164,서상우,LG,내,29,5300만원
2019,62234,류지혁,OB,내,25,12500만원
2019,62242,윤명준,OB,투,30,14500만원
2019,62244,박세혁,OB,포,29,10000만원
2019,62263,변진수,OB,투,26,5000만원
2019,62265,유민상,HT,내,30,4300만원
2019,62294,이동원,OB,투,25,2700만원
2019,62353,박정음,WO,외,30,4500만원
2019,62356,김규민,WO,외,26,5800만원
2019,62360,김동준,WO,투,27,5600만원
2019,62363,한현희,WO,투,26,32000만원
2019,62404,구자욱,SS,외,26,30000만원
2019,62409,박찬도,SS,외,30,5500만원
2019,62415,박해민,SS,외,29,36000만원
2019,62499,이현동,SS,외,26,2900만원
2019,62528,김원중,LT,투,26,10000만원
2019,62537,윤수강,NC,포,29,3200만원
2019,62556,신본기,LT,내,30,16000만원
2019,62558,김준태,LT,포,24,4400만원
2019,62595,정태승,LT,투,31,2800만원
2019,62611,임준섭,HH,투,29,8800만원
2019,62637,박지훈,HT,투,29,3500만원
2019,62648,김윤동,HT,투,26,18000만원
2019,62655,홍성민,LT,투,29,13000만원
2019,62668,윤해진,HT,내,30,3900만원
2019,62698,소사,SK,투,33,170000달러
2019,62700,하주석,HH,내,25,18000만원
2019,62754,임기영,HT,투,26,10000만원
2019,62770,윤승열,HH,내,26,3100만원
2019,62797,양성우,HH,외,30,8500만원
2019,62802,박승욱,KT,내,26,6600만원
2019,62864,김민식,HT,포,30,14000만원
2019,62869,문승원,SK,투,29,18000만원
2019,62884,최항,SK,내,25,11000만원
2019,62893,최정민,HT,내,30,4500만원
2019,62895,한동민,SK,외,29,33000만원
2019,62907,박민우,NC,내,26,38000만원
2019,62908,황윤호,HT,내,25,4000만원
2019,62920,노성호,NC,투,29,4000만원
2019,62921,박헌욱,NC,외,26,3000만원
2019,62925,강진성,NC,외,25,3200만원
2019,62929,이민호,NC,투,25,18500만원
2019,62931,노진혁,NC,내,29,10000만원
2019,62934,김성욱,NC,외,26,13000만원
2019,62937,신재영,WO,투,29,10000만원
2019,62947,나성범,NC,외,29,55000만원
2019,62951,이형범,OB,투,25,5500만원
2019,63088,김진곤,KT,외,31,3300만원
2019,63103,유원석,LG,투,29,2700만원
2019,63104,조근종,KT,투,29,3000만원
2019,63111,류제국,LG,투,36,10000만원
